years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1954,1383.346418,859.5937258,967.8592125,609.417932,1631.96232,1365.102759,899.6619013,681.7875995,1048.487874,1565.309309,182.4183799,1758.555377,1400.972968,1168.233626,1038.938706,764.9660931
1955,1216.519895,821.9969922,1270.208516,928.440775,1321.997609,1496.640377,792.4703846,715.5887039,1151.611461,1054.857974,487.7132277,1506.07678,1425.941384,1544.282149,697.4062839,796.4570636
1956,951.1029545,861.0874653,1395.250929,579.7028351,1808.266381,1072.228705,1055.78095,628.8135766,1305.305723,1436.014132,544.0808702,1789.992893,1833.168832,1476.873064,1235.700025,1126.813285
1957,999.621166,541.1246148,1039.59763,752.0195526,1346.153659,1367.619988,848.29811,898.8394104,765.0900523,1344.864435,296.0643777,1599.412123,1575.689254,1343.292294,1124.676584,822.1503323
1958,1215.712494,893.54237,1060.116376,842.8565518,1782.747102,1251.481644,854.9809057,794.6913573,1338.981199,1524.470644,345.881825,1914.206727,1646.382965,949.4183682,806.3581345,797.8799874
1959,962.8665352,636.5502026,1540.449829,701.1176368,1473.611896,1389.291032,632.3725027,1211.911174,1110.476583,1459.728308,361.7008278,1894.867223,1519.758956,1221.797388,782.4533539,837.6917406
1960,1172.701597,756.9956839,1166.742121,868.7870267,1686.413122,1294.487819,1006.600194,762.3857664,1009.470722,1600.68139,300.2114623,1798.019916,1518.536255,1308.207563,891.5683866,936.0467103
1961,1162.09737,893.4446869,1347.626182,718.875243,1764.366657,1179.808226,942.4440732,845.5688929,1217.647921,1183.036575,392.9172817,1887.062542,1422.726139,1275.979217,917.8645856,1310.196108
1962,1190.334624,795.8443929,1276.268973,630.9687229,1432.039082,901.3615397,853.9754386,940.5470883,1214.739785,1222.254089,395.7690633,2311.938457,1317.322994,1352.685937,1088.335914,752.5380323
1963,1030.188495,732.3698475,1190.446027,815.2229256,2019.023452,1193.435385,823.0348056,643.0993179,1130.163013,1102.892522,336.5638202,1622.02917,1439.54453,952.1374115,1256.319539,976.9926849
1964,1182.481318,699.5627495,1180.575055,607.4155746,1421.803062,1365.593003,995.6198775,492.0888645,968.0478519,958.1529854,331.024057,1712.035817,1485.637682,1335.389136,1103.702771,730.585948
1965,1203.541429,911.3532504,1371.861654,651.3350221,1191.593661,1166.917476,925.9813155,605.7769899,1211.045859,1563.841199,467.791579,1814.495061,1433.506355,1323.000958,852.3705649,757.9682914
1966,1345.08101,692.112293,1195.889825,813.8637024,1466.652077,1010.693753,806.6132199,583.1342524,1118.715382,1178.198724,444.3076123,1565.035075,1428.766121,1232.156158,1001.566047,708.7475175
1967,1202.500676,899.8519457,1218.513083,820.1299761,1610.414075,1168.435111,1149.607162,593.1355794,1005.955052,1298.417801,355.8227458,1623.255678,1504.670695,1464.972436,1020.29437,998.0575498
1968,1287.350909,908.7500862,1230.072021,892.6323508,2057.11463,1203.452352,977.3992098,561.2134714,1321.256758,1127.805557,413.3119885,2086.583211,1317.50787,1188.644836,1061.406749,877.2894656
1969,1320.728368,701.9327688,969.5460593,667.3307889,1532.555149,1273.661261,878.5591459,946.2697235,1109.998412,1050.079542,420.1680349,1607.37118,1223.140681,1112.203387,1069.810235,1057.533269
1970,1146.764757,817.4642633,1090.136461,909.1873279,1231.623679,1274.783224,1004.732469,1160.1457,1044.20709,855.0620486,500.4178053,1877.732883,1357.697202,1092.668674,1239.546012,1036.102626
1971,1115.450164,916.5852089,1508.859704,850.2353088,1574.387421,1049.393964,876.9256207,612.9267505,985.9512274,1574.87174,328.9386078,1753.630985,1349.992356,1259.545233,815.6306997,950.7018663
1972,1515.413529,538.1711595,1420.561809,738.2149093,1889.852161,1333.117531,942.761256,678.5637972,1275.541013,1116.530172,382.7493876,1806.601718,1490.321635,1508.59584,902.2605421,1021.562722
1973,1232.408594,785.5315031,1334.734181,786.2405812,1942.852583,1032.107571,1042.149913,645.9325077,1004.894616,1295.649628,466.8971055,2092.351961,1405.703904,1110.471483,1083.159904,890.9207299
1974,1418.652354,754.7767141,1060.129246,590.4002754,1681.938799,1174.364778,881.6542304,869.4625701,1109.403266,1301.75201,473.1875187,1961.24503,1442.023383,1605.229508,887.2547007,807.6545283
1975,947.2417205,684.7458531,1320.120113,684.5051899,1726.148419,1185.242707,747.2073234,695.0666107,1008.002807,1266.351068,523.7615536,2017.021679,1107.329201,1412.349033,991.7410847,562.6478641
1976,1358.929851,708.0684121,1200.561569,804.068572,2009.472518,1358.766028,925.2139748,622.9304006,1319.69456,1208.009014,498.1852982,1769.805202,1664.528175,1571.230377,1457.098722,606.5454257
1977,1150.152329,685.1384681,1395.205342,708.6106046,1316.042724,1243.302415,1014.44293,736.8365909,1166.279028,1353.754801,504.801171,2046.874424,1535.594217,1447.295374,1293.502231,713.9537368
1978,1053.676972,960.5836078,1291.517929,732.1818623,1140.419464,1089.814075,991.5523014,696.5573232,1280.263834,1180.669745,362.6911556,1786.727742,1486.057849,1209.407741,823.2698572,692.2739893
1979,1201.462951,630.7627265,1345.207428,686.9926604,1565.222531,1286.018495,1188.327533,1000.074544,1132.451396,1498.434829,631.890477,1820.516492,1525.688308,1150.451707,950.4324766,1035.544508
1980,1372.241673,784.8191791,1287.455913,852.3403922,1607.525181,1513.762269,1208.269198,522.3988012,1093.751393,1435.199352,298.0011259,1831.052152,1730.135243,1151.425043,741.6310734,742.8234135
1981,1443.638496,786.0016168,1241.297065,871.7630424,1567.987529,1145.924511,1074.339431,721.6827397,1200.877148,1550.233567,416.9582103,1779.523772,1612.89162,1132.02169,1083.645836,814.7001024
1982,1621.961256,817.2315819,1248.165472,899.6207033,1873.840611,1468.00451,955.1086934,934.2244994,1099.775775,1298.594382,499.900689,1689.144021,1577.006844,1521.295397,1207.513478,859.9041126
1983,1518.306961,855.872646,1306.788807,758.7359496,1364.154005,1404.56282,935.590024,768.4618509,1467.812839,1455.565598,484.5250446,1632.381201,1647.308777,1123.813639,1232.451629,871.5171827
1984,1600.831696,880.811631,1101.06998,859.6832853,1820.538964,1268.328182,699.1217735,858.7329819,1169.531023,1472.237446,369.1665687,2135.074542,1648.17014,1396.77719,1053.300293,1243.385277
1985,1588.038625,722.0246182,1311.191791,726.5545719,1259.373278,1220.244829,853.9598238,750.2493295,1148.289352,1147.70844,193.3491425,1620.204191,1636.001457,1080.619238,1448.333589,789.3877936
1986,901.1365477,850.0040445,1052.403574,592.161472,2025.727442,1208.84416,909.1133801,469.5508958,1081.494361,954.9013686,550.581187,2223.933669,1343.759249,937.9274848,1109.775972,799.607295
1987,1283.123399,869.6456306,1312.942461,723.1374485,1854.956004,1174.629019,1053.371204,687.7934357,1049.92705,1456.328456,566.6870442,2050.099512,1597.287256,919.9286798,937.410237,869.3942112
1988,1014.881783,899.1783237,1463.319713,581.4666755,1442.336579,1251.905566,788.4091708,428.0226003,1123.51495,1095.551461,299.3382167,1938.224904,1543.214822,1215.080624,1020.723539,764.4289917
