years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1967,-0.146232255,0.654148215,-0.262819946,0.655449718,-0.285550358,-1.003776538,1.412746641,-0.764228987,-1.102363625,0.180326963,-0.168413059,-1.271913761,0.010183877,1.003884517,-0.40241805,0.988155199
1968,0.269125839,0.740002017,-0.19492567,1.370752145,1.444344726,-0.727152535,0.041798568,-0.918514427,1.77408783,-0.77852168,0.442388647,0.946580014,-1.61348991,-0.30755727,-0.206624765,0.234704182
1969,0.432514875,-1.255477061,-1.725189233,-0.852054415,-0.587067276,-0.172526605,-0.745067507,0.942533509,-0.153191228,-1.215345454,0.515231576,-1.347971534,-2.432143571,-0.670345898,-0.166604064,1.35921384
1970,-0.419070225,-0.140770213,-1.016871734,1.53408218,-1.752456181,-0.163663491,0.259398738,1.97623558,-0.753395858,-2.311352722,1.367855379,-0.053432117,-1.264839664,-0.763057009,0.641744322,1.225511794
1971,-0.572361137,0.815599282,1.442602616,0.952466438,-0.425067383,-1.944160137,-0.758072006,-0.668574604,-1.284855593,1.734010795,-0.454046971,-0.647653847,-1.331680703,0.028933702,-1.377106771,0.692711347
1972,1.385535918,-2.835532684,0.92396313,-0.152717551,0.796603145,0.297157223,-0.233954296,-0.351338643,1.357029758,-0.841889865,0.117672441,-0.39402065,-0.114297002,1.210919773,-0.964541462,1.13479987
1973,0.000172716,-0.448873788,0.419833365,0.321099753,1.001852878,-2.080716622,0.557279127,-0.509051688,-1.112037823,0.164769702,1.011710478,0.974201807,-0.848372217,-0.678565456,-0.103027704,0.319747263
1974,0.911871489,-0.745611695,-1.19312652,-1.611044494,-0.008563309,-0.956934232,-0.720427529,0.571310361,-0.158620662,0.199065371,1.078543766,0.346438745,-0.533293696,1.669540012,-1.036005168,-0.199736049
1975,-1.395773589,-1.4213052,0.333994029,-0.682613197,0.162643111,-0.871002382,-1.790759798,-0.2715775,-1.083682251,0.00011045,1.615873975,0.613507158,-3.436830613,0.754135559,-0.538399999,-1.728289901
1976,0.619518433,-1.196277242,-0.3682626,0.496989234,1.259845614,0.499771413,-0.37364826,-0.620225117,1.75983612,-0.327774568,1.344135826,-0.570208847,1.396978503,1.508181245,1.677815708,-1.454420669
1977,-0.402487411,-1.41751705,0.775025657,-0.44479117,-1.425534512,-0.412350915,0.336703748,-0.069695475,0.360248614,0.491323444,1.414427,0.756447353,0.278451422,0.91998976,0.898705013,-0.784318947
